timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
1m,74,2025-10-01T15:29:00+05:30,0.0,-94.1176,SENSEX|weekly|2025-10-01,CE
1m,75,2025-10-09T10:36:00+05:30,0.0,20.0,SENSEX|weekly|2025-10-09,CE
1m,76,2025-10-09T15:29:00+05:30,0.0,6.2199,SENSEX|weekly|2025-10-09,CE
1m,77,2025-10-09T15:29:00+05:30,0.0,-98.7124,SENSEX|weekly|2025-10-09,PE
1m,78,2025-10-16T12:53:00+05:30,0.0,20.0,SENSEX|weekly|2025-10-16,PE
1m,79,2025-10-16T14:16:00+05:30,0.0,20.0,SENSEX|weekly|2025-10-16,PE
1m,80,2025-10-16T15:29:00+05:30,0.0,-98.8636,SENSEX|weekly|2025-10-16,PE
1m,81,2025-10-23T15:29:00+05:30,0.0,-98.0392,SENSEX|weekly|2025-10-23,PE
1m,82,2025-10-23T15:29:00+05:30,0.0,-19.2082,SENSEX|weekly|2025-10-23,CE
1m,83,2025-11-06T15:29:00+05:30,0.0,-98.1481,SENSEX|weekly|2025-11-06,CE
1m,84,2025-11-06T15:29:00+05:30,0.0,5.7018,SENSEX|weekly|2025-11-06,PE
1m,85,2025-11-13T09:50:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-13,CE
1m,86,2025-11-13T12:37:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-13,PE
1m,87,2025-11-13T13:41:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-13,CE
1m,88,2025-11-13T13:58:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-13,PE
1m,89,2025-11-13T14:53:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-13,PE
1m,90,2025-11-20T11:37:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-20,PE
1m,91,2025-11-20T12:34:00+05:30,0.0,20.0,SENSEX|weekly|2025-11-20,PE
1m,92,2025-11-20T15:29:00+05:30,0.0,10.8325,SENSEX|weekly|2025-11-20,CE
1m,93,2025-12-04T11:38:00+05:30,0.0,20.0,SENSEX|weekly|2025-12-04,PE
1m,94,2025-12-04T12:20:00+05:30,0.0,20.0,SENSEX|weekly|2025-12-04,PE
1m,95,2025-12-04T12:45:00+05:30,0.0,20.0,SENSEX|weekly|2025-12-04,PE
1m,96,2025-12-04T15:29:00+05:30,0.0,-99.9069,SENSEX|weekly|2025-12-04,CE
1m,97,2025-12-04T15:29:00+05:30,0.0,-86.7198,SENSEX|weekly|2025-12-04,PE
1m,98,2025-12-11T15:29:00+05:30,0.0,-26.4408,SENSEX|weekly|2025-12-11,PE
1m,99,2025-12-11T15:29:00+05:30,0.0,-98.6111,SENSEX|weekly|2025-12-11,CE
1m,100,2025-12-18T10:11:00+05:30,0.0,20.0,SENSEX|weekly|2025-12-18,CE
1m,101,2025-12-18T14:11:00+05:30,0.0,20.0,SENSEX|weekly|2025-12-18,PE
1m,102,2025-12-18T15:29:00+05:30,0.0,-99.5402,SENSEX|weekly|2025-12-18,CE
1m,103,2026-01-01T15:29:00+05:30,0.0,-10.3396,SENSEX|weekly|2026-01-01,CE
1m,104,2026-01-01T15:29:00+05:30,0.0,-97.2973,SENSEX|weekly|2026-01-01,PE
1m,105,2026-01-08T12:02:00+05:30,0.0,20.0,SENSEX|weekly|2026-01-08,CE
1m,106,2026-01-08T15:29:00+05:30,0.0,-97.3856,SENSEX|weekly|2026-01-08,CE
1m,107,2026-01-08T15:29:00+05:30,0.0,13.7273,SENSEX|weekly|2026-01-08,PE
1m,108,2026-01-14T15:29:00+05:30,0.0,7.5705,SENSEX|weekly|2026-01-14,PE
1m,109,2026-01-14T15:29:00+05:30,0.0,-98.0,SENSEX|weekly|2026-01-14,CE
1m,110,2026-01-22T12:13:00+05:30,0.0,20.0,SENSEX|weekly|2026-01-22,CE
1m,111,2026-01-22T13:12:00+05:30,0.0,20.0,SENSEX|weekly|2026-01-22,CE
1m,112,2026-01-22T13:54:00+05:30,0.0,20.0,SENSEX|weekly|2026-01-22,CE
1m,113,2026-01-22T15:29:00+05:30,0.0,0.5333,SENSEX|weekly|2026-01-22,PE
1m,114,2026-01-22T15:29:00+05:30,0.0,-98.0769,SENSEX|weekly|2026-01-22,CE
1m,115,2026-02-05T09:48:00+05:30,0.0,20.0,SENSEX|weekly|2026-02-05,PE
1m,116,2026-02-05T15:29:00+05:30,0.0,-17.529,SENSEX|weekly|2026-02-05,CE
1m,117,2026-02-05T15:29:00+05:30,0.0,-99.4536,SENSEX|weekly|2026-02-05,PE
1m,118,2026-02-12T10:16:00+05:30,0.0,20.0,SENSEX|weekly|2026-02-12,PE
1m,119,2026-02-12T15:29:00+05:30,0.0,-98.3607,SENSEX|weekly|2026-02-12,PE
1m,120,2026-02-12T15:29:00+05:30,0.0,-12.9032,SENSEX|weekly|2026-02-12,CE
1m,121,2026-02-19T11:23:00+05:30,0.0,20.0,SENSEX|weekly|2026-02-19,PE
1m,122,2026-02-19T14:02:00+05:30,0.0,20.0,SENSEX|weekly|2026-02-19,PE
1m,123,2026-02-19T14:47:00+05:30,0.0,20.0,SENSEX|weekly|2026-02-19,PE
1m,124,2026-02-19T15:29:00+05:30,0.0,-99.5918,SENSEX|weekly|2026-02-19,CE
3m,0,2025-05-29T11:21:00+05:30,100.0,0.0,,
