strategy,underlying,expiry_kind,expiry,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,blended_return,max_possible_return,ladder_exits,remaining_at_exit
target_50pct,NIFTY,weekly,2025-04-17,PE,2025-04-03 13:25:00+05:30,175.3,2025-04-04 09:20:00+05:30,262.95,target_50pct_hit,50.0,764.2327,,0.0
target_75pct,NIFTY,weekly,2025-04-17,PE,2025-04-03 13:25:00+05:30,175.3,2025-04-04 09:25:00+05:30,306.775,target_75pct_hit,75.0,764.2327,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,PE,2025-04-09 09:15:00+05:30,803.0,2025-04-11 09:15:00+05:30,562.1,hard_sl,-30.0,5.4919,,1.0
target_30pct,NIFTY,weekly,2025-04-17,PE,2025-04-09 09:15:00+05:30,803.0,2025-04-17 15:30:00+05:30,0.05,hold_to_end,-99.9938,5.4919,,0.0
target_50pct,NIFTY,weekly,2025-04-17,PE,2025-04-09 09:15:00+05:30,803.0,2025-04-17 15:30:00+05:30,0.05,hold_to_end,-99.9938,5.4919,,0.0
target_75pct,NIFTY,weekly,2025-04-17,PE,2025-04-09 09:15:00+05:30,803.0,2025-04-17 15:30:00+05:30,0.05,hold_to_end,-99.9938,5.4919,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-24,CE,2025-04-11 11:35:00+05:30,489.5,2025-04-15 09:15:00+05:30,674.1,trail_stop,35.6272,238.0899,30.0|40.0,0.6
target_30pct,NIFTY,weekly,2025-04-24,CE,2025-04-11 11:35:00+05:30,489.5,2025-04-15 09:15:00+05:30,636.35,target_30pct_hit,30.0,238.0899,,0.0
target_50pct,NIFTY,weekly,2025-04-24,CE,2025-04-11 11:35:00+05:30,489.5,2025-04-15 09:45:00+05:30,734.25,target_50pct_hit,50.0,238.0899,,0.0
target_75pct,NIFTY,weekly,2025-04-24,CE,2025-04-11 11:35:00+05:30,489.5,2025-04-17 11:35:00+05:30,856.625,target_75pct_hit,75.0,238.0899,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-24,CE,2025-04-16 11:50:00+05:30,685.0,2025-04-17 14:15:00+05:30,1112.5,trail_stop,49.7226,141.5985,30.0|40.0|50.0|60.0|70.0,0.3
target_30pct,NIFTY,weekly,2025-04-24,CE,2025-04-16 11:50:00+05:30,685.0,2025-04-17 11:40:00+05:30,890.5,target_30pct_hit,30.0,141.5985,,0.0
target_50pct,NIFTY,weekly,2025-04-24,CE,2025-04-16 11:50:00+05:30,685.0,2025-04-17 12:45:00+05:30,1027.5,target_50pct_hit,50.0,141.5985,,0.0
target_75pct,NIFTY,weekly,2025-04-24,CE,2025-04-16 11:50:00+05:30,685.0,2025-04-21 09:20:00+05:30,1198.75,target_75pct_hit,75.0,141.5985,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-24,CE,2025-04-21 14:55:00+05:30,1461.35,2025-04-24 15:30:00+05:30,1550.0,hold_to_end,6.0663,13.248,,1.0
target_30pct,NIFTY,weekly,2025-04-24,CE,2025-04-21 14:55:00+05:30,1461.35,2025-04-24 15:30:00+05:30,1550.0,hold_to_end,6.0663,13.248,,0.0
target_50pct,NIFTY,weekly,2025-04-24,CE,2025-04-21 14:55:00+05:30,1461.35,2025-04-24 15:30:00+05:30,1550.0,hold_to_end,6.0663,13.248,,0.0
target_75pct,NIFTY,weekly,2025-04-24,CE,2025-04-21 14:55:00+05:30,1461.35,2025-04-24 15:30:00+05:30,1550.0,hold_to_end,6.0663,13.248,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-24,PE,2025-04-11 13:45:00+05:30,233.9,2025-04-15 09:15:00+05:30,163.73,hard_sl,-30.0,25.2202,,1.0
target_30pct,NIFTY,weekly,2025-04-24,PE,2025-04-11 13:45:00+05:30,233.9,2025-04-24 15:30:00+05:30,0.1,hold_to_end,-99.9572,25.2202,,0.0
target_50pct,NIFTY,weekly,2025-04-24,PE,2025-04-11 13:45:00+05:30,233.9,2025-04-24 15:30:00+05:30,0.1,hold_to_end,-99.9572,25.2202,,0.0
target_75pct,NIFTY,weekly,2025-04-24,PE,2025-04-11 13:45:00+05:30,233.9,2025-04-24 15:30:00+05:30,0.1,hold_to_end,-99.9572,25.2202,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-08,CE,2025-04-25 09:15:00+05:30,333.65,2025-04-25 09:55:00+05:30,233.555,hard_sl,-30.0,30.6609,,1.0
target_30pct,NIFTY,weekly,2025-05-08,CE,2025-04-25 09:15:00+05:30,333.65,2025-05-02 10:05:00+05:30,433.745,target_30pct_hit,30.0,30.6609,,0.0
target_50pct,NIFTY,weekly,2025-05-08,CE,2025-04-25 09:15:00+05:30,333.65,2025-05-08 15:30:00+05:30,0.05,hold_to_end,-99.985,30.6609,,0.0
target_75pct,NIFTY,weekly,2025-05-08,CE,2025-04-25 09:15:00+05:30,333.65,2025-05-08 15:30:00+05:30,0.05,hold_to_end,-99.985,30.6609,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-08,CE,2025-05-02 13:55:00+05:30,236.1,2025-05-02 14:35:00+05:30,165.27,hard_sl,-30.0,26.9801,,1.0
target_30pct,NIFTY,weekly,2025-05-08,CE,2025-05-02 13:55:00+05:30,236.1,2025-05-08 15:30:00+05:30,0.05,hold_to_end,-99.9788,26.9801,,0.0
target_50pct,NIFTY,weekly,2025-05-08,CE,2025-05-02 13:55:00+05:30,236.1,2025-05-08 15:30:00+05:30,0.05,hold_to_end,-99.9788,26.9801,,0.0
target_75pct,NIFTY,weekly,2025-05-08,CE,2025-05-02 13:55:00+05:30,236.1,2025-05-08 15:30:00+05:30,0.05,hold_to_end,-99.9788,26.9801,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-08,PE,2025-04-25 09:50:00+05:30,317.0,2025-04-25 10:00:00+05:30,380.7,trail_stop,23.0662,67.1924,30.0,0.7
target_30pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 09:50:00+05:30,317.0,2025-04-25 10:00:00+05:30,412.1,target_30pct_hit,30.0,67.1924,,0.0
target_50pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 09:50:00+05:30,317.0,2025-04-25 10:30:00+05:30,475.5,target_50pct_hit,50.0,67.1924,,0.0
target_75pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 09:50:00+05:30,317.0,2025-05-08 15:30:00+05:30,26.45,hold_to_end,-91.6562,67.1924,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-08,PE,2025-04-25 15:30:00+05:30,419.9,2025-04-28 09:35:00+05:30,293.93,hard_sl,-30.0,2.5959,,1.0
target_30pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 15:30:00+05:30,419.9,2025-05-08 15:30:00+05:30,26.45,hold_to_end,-93.7009,2.5959,,0.0
target_50pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 15:30:00+05:30,419.9,2025-05-08 15:30:00+05:30,26.45,hold_to_end,-93.7009,2.5959,,0.0
target_75pct,NIFTY,weekly,2025-05-08,PE,2025-04-25 15:30:00+05:30,419.9,2025-05-08 15:30:00+05:30,26.45,hold_to_end,-93.7009,2.5959,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,CE,2025-05-05 09:30:00+05:30,279.0,2025-05-06 11:20:00+05:30,195.3,hard_sl,-30.0,142.5269,,1.0
