entry_time,entry_price,return_pct,exit_reason,max_possible,option_type,exp
2025-05-19 14:05:00+05:30,40.1,-50.0,sl,28.43,PE,2025-05-20
2025-05-20 13:15:00+05:30,10.6,-50.0,sl,31.13,PE,2025-05-20
2025-05-21 09:45:00+05:30,939.7,-50.0,sl,31.42,CE,2025-06-03
2025-05-22 15:00:00+05:30,493.15,50.0,target,150.43,CE,2025-06-03
2025-05-26 09:15:00+05:30,1032.75,-50.0,sl,19.58,CE,2025-06-03
2025-05-29 15:10:00+05:30,366.1,-50.0,sl,22.37,CE,2025-06-03
2025-06-02 11:20:00+05:30,232.6,50.0,target,53.57,CE,2025-06-03
2025-06-02 15:05:00+05:30,297.0,-50.0,sl,17.85,CE,2025-06-03
2025-05-21 12:05:00+05:30,1069.65,50.0,target,56.37,PE,2025-06-03
2025-05-23 14:55:00+05:30,1000.0,50.0,target,53.1,PE,2025-06-03
2025-06-02 14:45:00+05:30,1066.95,18.4123,end,42.24,PE,2025-06-03
2025-05-28 13:05:00+05:30,1033.4,-50.0,sl,0.0,CE,2025-06-10
2025-06-02 11:20:00+05:30,658.65,-50.0,sl,39.67,CE,2025-06-10
2025-06-04 14:10:00+05:30,316.25,50.0,target,189.85,CE,2025-06-10
2025-06-06 10:35:00+05:30,425.15,50.0,target,115.61,CE,2025-06-10
2025-06-06 14:25:00+05:30,709.75,-16.5129,end,29.15,CE,2025-06-10
2025-05-27 13:30:00+05:30,1275.0,-50.0,sl,25.55,PE,2025-06-10
2025-06-05 13:50:00+05:30,712.45,-50.0,sl,23.66,PE,2025-06-10
2025-06-04 14:00:00+05:30,818.0,50.0,target,87.37,CE,2025-06-17
2025-06-11 11:10:00+05:30,1400.0,-50.0,sl,9.47,CE,2025-06-17
2025-06-13 13:50:00+05:30,309.85,50.0,target,101.69,CE,2025-06-17
2025-06-17 14:25:00+05:30,193.45,-5.3761,end,6.46,CE,2025-06-17
2025-06-05 14:00:00+05:30,758.8,-50.0,sl,52.24,PE,2025-06-17
2025-06-10 14:45:00+05:30,174.1,-50.0,sl,563.53,PE,2025-06-17
2025-06-12 09:45:00+05:30,145.8,50.0,target,692.32,PE,2025-06-17
2025-06-13 14:55:00+05:30,709.75,-50.0,sl,9.38,PE,2025-06-17
2025-06-17 14:35:00+05:30,775.85,50.0,target,181.47,CE,2025-07-01
2025-06-25 09:45:00+05:30,976.3,50.0,target,123.68,CE,2025-07-01
2025-07-01 09:35:00+05:30,1822.55,-1.2071,end,2.73,CE,2025-07-01
2025-06-17 12:55:00+05:30,1040.4,-50.0,sl,3.71,PE,2025-07-01
2025-06-23 09:20:00+05:30,705.65,-50.0,sl,26.02,PE,2025-07-01
2025-06-24 13:25:00+05:30,363.55,50.0,target,58.48,PE,2025-07-01
2025-06-30 13:15:00+05:30,14.2,-50.0,sl,9.15,PE,2025-07-01
2025-06-25 09:55:00+05:30,798.35,50.0,target,79.63,CE,2025-07-08
2025-07-01 14:25:00+05:30,1235.65,-50.0,sl,0.0,CE,2025-07-08
2025-07-04 14:25:00+05:30,611.9,50.0,target,68.56,CE,2025-07-08
2025-06-24 13:20:00+05:30,870.65,-50.0,sl,29.14,PE,2025-07-08
2025-06-30 10:50:00+05:30,226.95,-50.0,sl,29.85,PE,2025-07-08
2025-07-02 10:40:00+05:30,172.6,50.0,target,63.9,PE,2025-07-08
