underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
BEL,20,64,78.1,4.23,20.0,20.0,-52.08
BEL,30,64,70.3,5.5,30.0,30.0,-52.53
BEL,50,64,48.4,-3.03,-8.84,49.16,-52.05
BEL,75,64,35.9,-8.15,-50.98,70.83,-52.46
BHARATFORG,20,55,78.2,4.34,20,19.5,-49.96
BHARATFORG,30,55,70.9,5.21,30,28.44,-51.43
BHARATFORG,50,55,61.8,8.3,50,45.19,-51.44
BHARATFORG,75,55,50.9,7.99,7.14,65.59,-51.75
BHARTIARTL,20,69,63.8,-6.04,20,19.86,-51.63
BHARTIARTL,30,69,62.3,-1.0,30,29.63,-51.65
BHARTIARTL,50,69,52.2,-1.02,14.04,46.08,-52.4
BHARTIARTL,75,69,42.0,-3.03,-50.27,66.68,-53.57
BHEL,20,61,77.0,3.65,20,19.41,-49.24
BHEL,30,61,68.9,3.86,30,28.62,-50.88
BHEL,50,61,59.0,5.94,50,46.73,-52.79
BHEL,75,61,47.5,4.75,-50.0,68.07,-52.64
BIOCON,20,59,71.2,-0.47,20,19.78,-50.48
BIOCON,30,59,62.7,-1.36,30,28.59,-51.73
BIOCON,50,59,57.6,3.91,42.25,45.7,-52.92
BIOCON,75,59,44.1,-1.94,-50.0,63.16,-53.23
BLUESTARCO,20,36,77.8,1.72,20.0,19.64,-61.01
BLUESTARCO,30,36,77.8,9.22,30.0,29.28,-61.01
BLUESTARCO,50,36,66.7,12.32,50.0,48.11,-59.26
BLUESTARCO,75,36,44.4,-1.79,-51.89,69.04,-58.45
BOSCHLTD,20,33,72.7,0.72,20,19.59,-49.62
BOSCHLTD,30,33,63.6,0.32,30,29.06,-49.97
BOSCHLTD,50,33,42.4,-10.35,-50.12,47.16,-52.72
BOSCHLTD,75,33,33.3,-12.44,-51.05,69.11,-53.21
BPCL,20,72,62.5,-8.76,20.0,20.0,-56.7
BPCL,30,72,58.3,-6.01,30.0,29.89,-56.26
BPCL,50,72,48.6,-6.63,-50.0,45.76,-56.19
BPCL,75,72,40.3,-7.12,-50.26,64.71,-55.57
BRITANNIA,20,57,50.9,-15.05,20,20.0,-51.35
BRITANNIA,30,57,45.6,-14.66,-23.59,30.0,-52.11
BRITANNIA,50,57,35.1,-16.8,-50.99,50.0,-52.91
BRITANNIA,75,57,29.8,-16.6,-51.31,70.31,-53.54
BSE,20,63,74.6,2.16,20,19.57,-49.0
BSE,30,63,69.8,4.7,30,28.75,-50.98
BSE,50,63,54.0,1.03,15.09,46.62,-52.42
BSE,75,63,46.0,2.94,-28.67,68.19,-52.71
CAMS,20,22,63.6,-7.68,20.0,20.0,-56.12
CAMS,30,22,59.1,-4.98,30.0,30.0,-55.51
CAMS,50,22,31.8,-20.19,-50.39,50.0,-52.94
CAMS,75,22,27.3,-19.89,-51.12,68.9,-53.19
CANBK,20,59,66.1,-4.59,20,19.65,-51.86
CANBK,30,59,64.4,0.35,30,29.19,-51.84
CANBK,50,59,55.9,2.73,50,47.16,-53.65
CANBK,75,59,45.8,2.08,-50.0,68.75,-54.17
CDSL,20,55,74.5,0.24,20,19.58,-56.39
CDSL,30,55,69.1,2.66,30,29.28,-56.87
CDSL,50,55,58.2,3.24,50,47.39,-58.2
CDSL,75,55,50.9,6.31,2.83,67.75,-57.41
CGPOWER,20,51,68.6,-1.91,20,20.0,-49.85
CGPOWER,30,51,54.9,-5.55,30,30.0,-48.84
CGPOWER,50,51,45.1,-5.42,-50.0,49.26,-50.33
CGPOWER,75,51,39.2,-2.65,-50.46,71.73,-50.63
CHOLAFIN,20,62,67.7,-2.62,20.0,20.0,-50.13
