market,band,side,h,arm,sess,lift,t,t_deov
stock,deep_ITM,CE,3,rv_quintile,153,0.006450675636018515,0.4783689822195363,0.11431350584583812
stock,deep_ITM,CE,3,RS_and_moverich,142,-0.0016041098160405629,-0.08332257285860983,-0.045415720480172526
stock,deep_ITM,CE,3,RS_decile_WRONGWAY,78,-0.03489077826432299,-0.8368292049930146,-0.4888273178523823
stock,deep_ITM,CE,3,rv_bottom_quintile,147,0.03214646118146282,1.792285326288123,0.919324331241707
stock,deep_ITM,CE,5,RS_RIGHT_minus_WRONG,48,-0.006674364619405769,-0.08118921622453401,
stock,deep_ITM,CE,5,RS_decile,81,0.016436896081879773,0.7437535138833834,0.3702729687386072
stock,deep_ITM,CE,5,RS_quintile,82,0.024750533993942034,1.7922663286886094,1.0054258817177406
stock,deep_ITM,CE,5,alpha_decile,52,0.01155841633251611,0.49723284564594966,
stock,deep_ITM,CE,5,moverich_quintile,84,0.05597466654593892,2.597153031206593,1.1303833375923897
stock,deep_ITM,CE,5,moverich_decile,67,0.0067069194562723086,0.19301131783188,0.08332587465971722
stock,deep_ITM,CE,5,rv_quintile,83,0.000145668523451571,0.008821094691121929,-0.14845561414092395
stock,deep_ITM,CE,5,RS_and_moverich,72,0.013180839951820712,0.3694997937716444,0.213602027385937
stock,deep_ITM,CE,5,RS_decile_WRONGWAY,48,0.0106823264240692,0.16133291087506357,
stock,deep_ITM,CE,5,rv_bottom_quintile,79,0.049407620707503666,1.5730073308283543,0.7489361646712356
stock,deep_ITM,PE,3,RS_RIGHT_minus_WRONG,53,0.0599886960140216,1.1164829328124226,0.5963418162697415
stock,deep_ITM,PE,3,RS_decile,152,0.004903864835027799,0.3727001683688649,0.2883616419549622
stock,deep_ITM,PE,3,RS_quintile,153,0.0018623585930803732,0.2020669453140043,0.06982912705119515
stock,deep_ITM,PE,3,alpha_decile,97,0.0360297364857136,2.4073306817056563,1.4311661308045445
stock,deep_ITM,PE,3,moverich_quintile,141,0.020015482293723505,1.5039843136225568,0.8049032742270134
stock,deep_ITM,PE,3,moverich_decile,108,0.04431170479609058,2.2511222195154144,1.3118916577774258
stock,deep_ITM,PE,3,rv_quintile,148,-0.020533390596016478,-1.5227493513694272,-0.9658055152694187
stock,deep_ITM,PE,3,RS_and_moverich,124,-0.02872197855204915,-1.2419117980271173,-0.7703477663551784
stock,deep_ITM,PE,3,RS_decile_WRONGWAY,54,-0.06544883398334662,-1.4882839879066934,-0.8506549317500044
stock,deep_ITM,PE,3,rv_bottom_quintile,144,-0.0038391185324983474,-0.25770003984625633,-0.19263823008469771
stock,deep_ITM,PE,5,RS_RIGHT_minus_WRONG,36,-0.001985614134136424,-0.03866340973091949,
stock,deep_ITM,PE,5,RS_decile,80,-0.0073550282320388755,-0.4171606025250342,-0.23528633574146904
stock,deep_ITM,PE,5,RS_quintile,81,-0.01449390802751603,-0.9587003340386657,-0.3607964115538761
stock,deep_ITM,PE,5,alpha_decile,51,0.025435510376888727,1.2940708039645423,
stock,deep_ITM,PE,5,moverich_quintile,74,0.05370768347283327,2.058101738348208,0.920022582624553
stock,deep_ITM,PE,5,moverich_decile,55,0.05813882501048015,1.578110646022846,
stock,deep_ITM,PE,5,rv_quintile,80,-0.039165552705202,-1.5472384584330499,-0.6792363281494849
stock,deep_ITM,PE,5,RS_and_moverich,64,0.004477919524129705,0.10858016983176842,-0.04713755682536493
stock,deep_ITM,PE,5,RS_decile_WRONGWAY,37,-0.01777019894855302,-0.3642605720437495,
stock,deep_ITM,PE,5,rv_bottom_quintile,75,0.01374354518118745,0.5361135301514149,0.3190418319132512
stock,slight_ITM,CE,3,RS_RIGHT_minus_WRONG,103,0.13161765321196714,2.6898723201952293,1.55527784428657
stock,slight_ITM,CE,3,RS_decile,143,0.05530303084541069,1.8765374886767259,1.0573980943565058
stock,slight_ITM,CE,3,RS_quintile,151,0.06220637568150583,3.3492689763298,1.9509628039093982
stock,slight_ITM,CE,3,alpha_decile,97,0.102775322826788,3.3441604255971344,1.8974171133671938
stock,slight_ITM,CE,3,moverich_quintile,155,0.053339690867585866,2.575753447408536,1.5039850258864889
stock,slight_ITM,CE,3,moverich_decile,117,0.05577276733372652,2.055747339260359,1.170643727798283
