market,band,side,h,arm,n,sess,net,med,win,t,t_deov,lift,rand_mean,rand_pct
stock,deep_ITM,PE,3,rv_quintile,1175,148,-0.18917967899221386,-0.26149253731343286,0.2731914893617021,-6.8953474814208064,-4.015195469292713,-0.005760020873236682,-0.1685268349421233,0.03666666666666667
stock,deep_ITM,PE,3,RS_and_moverich,437,124,-0.1997496743691846,-0.23714087053261018,0.28832951945080093,-6.030364478792562,-3.5830602048783526,-0.016330016250207413,-0.1711946922127879,0.08666666666666667
stock,deep_ITM,PE,3,RS_decile_WRONGWAY,148,54,-0.35008271680963393,-0.4582515564363777,0.16216216216216217,-6.231475092328174,-3.5891968412495583,-0.16666305869065676,-0.28692432311898464,0.043333333333333335
stock,deep_ITM,PE,3,rv_bottom_quintile,915,144,-0.18744058257860027,-0.23200000000000004,0.2907103825136612,-7.351220627540507,-4.238698287144683,-0.004020924459623099,-0.18294018377902138,0.35
stock,deep_ITM,PE,5,unselected,3357,85,-0.2750428744939845,-0.4551930005146681,0.18826333035448317,-8.575406580953807,-3.9230565038265888,0.0,,
stock,deep_ITM,PE,5,RS_decile,598,80,-0.2620344041607058,-0.3684418683941357,0.23578595317725753,-7.569810362859516,-3.510242088320082,0.013008470333278732,-0.2531641663351321,0.3433333333333333
stock,deep_ITM,PE,5,RS_quintile,1135,81,-0.2730860309811103,-0.3915942028985508,0.2105726872246696,-8.656338440109735,-3.9639315113094127,0.001956843512874229,-0.257160657747066,0.14666666666666667
stock,deep_ITM,PE,5,alpha_decile,421,51,-0.225794475705932,-0.3419047619047619,0.2684085510688836,-4.654348315834907,,0.04924839878805251,-0.252135410583238,0.8933333333333333
stock,deep_ITM,PE,5,moverich_quintile,622,74,-0.22298907476707994,-0.3715562895180355,0.24437299035369775,-4.955067288512209,-2.2081299404097616,0.052053799726904576,-0.2750900852352989,0.9933333333333333
stock,deep_ITM,PE,5,moverich_decile,369,55,-0.18811313419791298,-0.32735063738289055,0.24661246612466126,-3.6962897948187705,,0.08692974029607153,-0.2464311032058629,0.95
stock,deep_ITM,PE,5,rv_quintile,645,80,-0.31797153717843407,-0.4509677419354839,0.17674418604651163,-7.922510236338641,-3.475210745934503,-0.04292866268444956,-0.2783044216650272,0.03
stock,deep_ITM,PE,5,RS_and_moverich,220,64,-0.2759029553958617,-0.3684418683941357,0.20909090909090908,-5.270885068868881,-2.6100409947539447,-0.0008600809018771693,-0.28170444699687425,0.59
stock,deep_ITM,PE,5,RS_decile_WRONGWAY,112,37,-0.4231014391745039,-0.5583133005296173,0.13392857142857142,-7.044531854646827,,-0.14805856468051937,-0.40456215697865666,0.38
stock,deep_ITM,PE,5,rv_bottom_quintile,470,75,-0.2836457007508461,-0.42419488613818274,0.20425531914893616,-7.0637124314938955,-3.2204225327683544,-0.008602826256861595,-0.29525160586811294,0.7133333333333334
stock,deep_ITM,PE,10,unselected,364,9,-0.46250039906830565,-0.6551004016064257,0.14560439560439561,-6.9628974532429595,,0.0,,
stock,deep_ITM,PE,10,RS_quintile,117,9,-0.4074167065559052,-0.5567932489451476,0.21367521367521367,-4.881272955023147,,0.05508369251240047,,
stock,slight_ITM,CE,3,unselected,8558,159,-0.12241515222626845,-0.21094619167917594,0.3329048843187661,-5.278574088364758,-3.0334601972294615,0.0,,
stock,slight_ITM,CE,3,RS_decile,684,143,-0.06749438695061731,-0.1739253305677988,0.3391812865497076,-1.8457140577717681,-1.077750148464772,0.05492076527565114,-0.12001712577769695,0.97
stock,slight_ITM,CE,3,RS_quintile,1601,151,-0.06869055770915554,-0.16648648648648662,0.3529044347282948,-2.3534769591923888,-1.442693267220644,0.05372459451711291,-0.12979372534332295,0.9566666666666667
stock,slight_ITM,CE,3,alpha_decile,571,97,-0.04184862103443641,-0.1664197530864197,0.3309982486865149,-0.9754022575293849,-0.6219111130725563,0.08056653119183205,-0.1473007491937133,1.0
stock,slight_ITM,CE,3,moverich_quintile,1119,155,-0.0759979385340601,-0.12982206405693958,0.40840035746201964,-2.39017228059063,-1.3703271909526114,0.046417213692208345,-0.1309718791232929,0.9866666666666667
stock,slight_ITM,CE,3,moverich_decile,523,117,-0.1060641004617078,-0.2772087378640777,0.30401529636711283,-2.830609791521123,-1.6494238012389342,0.016351051764560642,-0.16017937748901037,0.96
stock,slight_ITM,CE,3,rv_quintile,1271,154,-0.13236509063970864,-0.23187376725838277,0.3241542092840283,-4.806345017125744,-2.82355954286937,-0.00994993841344019,-0.1311207931931591,0.49333333333333335
stock,slight_ITM,CE,3,RS_and_moverich,220,106,-0.03441057779957694,-0.1326544862097056,0.41818181818181815,-0.7196732618524292,-0.4210415076479593,0.08800457442669152,-0.12535052458076734,0.98
stock,slight_ITM,CE,3,RS_decile_WRONGWAY,421,108,-0.17763493637655317,-0.24333333333333346,0.2684085510688836,-4.913350272778713,-3.020172348389417,-0.05521978415028472,-0.1061874333698669,0.013333333333333334
stock,slight_ITM,CE,3,rv_bottom_quintile,1751,156,-0.12911771960395285,-0.20634088200238393,0.32324386065105654,-5.240616802063876,-3.06743742121397,-0.006702567377684404,-0.13077734158436843,0.5633333333333334
stock,slight_ITM,CE,5,unselected,4600,85,-0.08729100714115105,-0.24666666666666676,0.3506521739130435,-2.593832362605267,-1.2169945843738668,0.0,,
stock,slight_ITM,CE,5,RS_decile,411,78,-0.051537783086205664,-0.2,0.36009732360097324,-1.118622608392166,-0.608509260965297,0.03575322405494539,-0.07607743739721608,0.7466666666666667
stock,slight_ITM,CE,5,RS_quintile,925,80,-0.020031887269824966,-0.17090909090909095,0.3935135135135135,-0.5304546640446715,-0.25857062659734137,0.06725911987132609,-0.07571535790076359,1.0
stock,slight_ITM,CE,5,alpha_decile,339,52,-0.0513293068076847,-0.2318056467498359,0.35103244837758113,-0.8680973584926179,,0.03596170033346635,-0.14230659893909853,0.9933333333333333
stock,slight_ITM,CE,5,moverich_quintile,635,84,0.023418847063864795,-0.0001863354037267423,0.49921259842519683,0.45415667435730767,0.18201543339387713,0.11070985420501585,-0.08282449837657178,0.98
stock,slight_ITM,CE,5,moverich_decile,273,62,-0.03219012438343685,-0.2497297297297298,0.3443223443223443,-0.5196504840918963,-0.29596781999569544,0.0551008827577142,-0.14423567756218897,0.9666666666666667
stock,slight_ITM,CE,5,rv_quintile,690,83,-0.10709977705879668,-0.2786538630185039,0.32463768115942027,-2.47087519807072,-1.3681530560313124,-0.01980876991764563,-0.08804427290710311,0.24
