avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
1050.7931,-75.1448,-6.8049,-5.3548,29.1805,weekly_series,48.01,142.4583,590.0,-3.4214,9.0105,-99.9961,145,0,macd_bias,1.587916,15m,5m,0.669,-6.94
128.0476,-52.7317,-0.3064,-14.7899,8.559,monthly_expiry_day,33.87,10.0,83.0,0.0,10.0,-99.9858,21,0,ema_macd_agree,-7.452423,15m,1m,0.619,-2.62
68.3333,-11.644,1.1868,5.1902,10.0,monthly_expiry_day,39.13,10.0,30.0,0.0,10.0,-12.8432,9,2,ema_macd_agree,18.079826,15m,3m,0.7778,3.87
112.5,-64.7873,-13.7006,-27.3936,10.0,monthly_expiry_day,46.15,10.0,107.5,5.1294,4.8706,-97.6744,6,1,ema_macd_agree,-9.721855,15m,5m,0.5,3.85
2189.375,-59.3326,4.6613,-3.2963,46.1474,monthly_series,42.11,158.0537,1190.0,0.3426,10.1133,-99.998,32,1,ema_macd_agree,7.227867,15m,10m,0.5312,-8.72
2165.7353,-55.204,5.3911,-3.116,43.1844,monthly_series,45.95,149.5619,1282.5,-2.2195,6.7645,-99.998,34,1,ema_macd_agree,5.288186,15m,15m,0.5294,-5.17
2452.8261,-65.5603,1.5906,-0.9165,27.3652,monthly_series,79.31,80.3803,945.0,0.1831,10.2499,-99.998,46,1,ema_macd_agree,13.738847,15m,30m,0.6957,2.33
2917.6923,-68.3341,7.9004,4.9571,46.0001,monthly_series,46.99,191.6225,1224.0,1.3872,10.7938,-99.9986,39,1,ema_macd_agree,19.522803,15m,3m,0.641,0.24
2305.5714,-63.145,8.8418,6.6241,38.6016,monthly_series,40.23,191.0163,955.0,0.1369,10.9244,-99.9966,35,1,ema_macd_agree,22.448145,15m,5m,0.6857,0.75
92.9178,-32.2192,4.8505,-3.1055,9.4534,weekly_expiry_day,30.8,10.0,48.0,0.0,10.0,-99.9762,73,1,ema_macd_agree,11.86867,15m,1m,0.6986,-3.56
