avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_pct,min_return_pct,opportunities,regime_model,spot_timeframe,timeframe,underlying,win_rate
118.3333,-97.0515,-39.4864,-61.3677,10.0,monthly_expiry_day,33.33,10.0,115.0,-96.4286,-97.6744,3,ema_macd_agree,15m,5m,SENSEX,0.3333
1598.0,-19.8115,60.713,53.6771,72.0493,monthly_series,29.41,149.5502,1480.0,24.5038,-19.8115,5,ema_macd_agree,15m,10m,NIFTY,0.8
2298.8889,-62.1555,-5.6239,-13.847,38.1776,monthly_series,45.76,158.0537,970.0,-6.8027,-99.998,27,ema_macd_agree,15m,10m,SENSEX,0.4815
2550.0,-39.9877,30.8527,21.9127,68.338,monthly_series,43.75,149.5619,1500.0,18.8825,-98.1833,7,ema_macd_agree,15m,15m,NIFTY,0.5714
2066.1111,-58.7155,-1.2172,-9.6049,35.9977,monthly_series,46.55,144.127,960.0,4.8552,-99.998,27,ema_macd_agree,15m,15m,SENSEX,0.5185
4440.0,-66.5747,7.8387,-16.2851,13.8887,monthly_series,66.67,33.7134,1260.0,3.6733,-99.987,8,ema_macd_agree,15m,30m,NIFTY,0.625
2034.4737,-65.2837,-0.813,2.319,29.8608,monthly_series,82.61,80.3803,930.0,10.5023,-99.998,38,ema_macd_agree,15m,30m,SENSEX,0.7105
3239.5714,0.0,62.8301,64.7069,64.7069,monthly_series,41.18,191.6225,2088.0,13.4548,2.2699,7,ema_macd_agree,15m,3m,NIFTY,1.0
2847.2812,-68.3341,-3.9284,-8.1132,38.7252,monthly_series,48.48,172.1161,1075.5,9.3843,-99.9986,32,ema_macd_agree,15m,3m,SENSEX,0.5625
2642.8571,-19.8115,39.4385,38.6226,48.3616,monthly_series,35.0,144.4495,1480.0,10.9244,-19.8115,7,ema_macd_agree,15m,5m,NIFTY,0.8571
2221.25,-67.4784,1.2607,-1.3755,35.3483,monthly_series,41.79,191.0163,907.5,10.8765,-99.9966,28,ema_macd_agree,15m,5m,SENSEX,0.6429
61.3824,-35.5754,6.0127,0.0693,9.3106,weekly_expiry_day,43.59,10.0,14.0,10.0,-99.835,34,ema_macd_agree,15m,1m,NIFTY,0.7941
120.4103,-30.653,3.07,-5.8733,9.614,weekly_expiry_day,24.53,10.0,100.0,10.0,-99.9762,39,ema_macd_agree,15m,1m,SENSEX,0.6154
59.7857,-29.6562,8.1717,-4.1629,10.0,weekly_expiry_day,42.42,10.0,37.5,10.0,-99.6904,14,ema_macd_agree,15m,3m,NIFTY,0.6429
93.1154,-21.264,-0.2624,-4.6035,9.6769,weekly_expiry_day,36.11,10.0,64.5,7.7386,-97.9592,26,ema_macd_agree,15m,3m,SENSEX,0.5385
40.625,-3.001,10.3925,5.5455,8.3943,weekly_expiry_day,47.06,10.0,5.0,10.0,-5.7903,8,ema_macd_agree,15m,5m,NIFTY,0.75
91.7857,-7.4859,-2.2582,-1.04,7.5546,weekly_expiry_day,38.89,10.0,90.0,-0.6332,-21.1212,14,ema_macd_agree,15m,5m,SENSEX,0.4286
905.2632,-79.0475,15.0509,6.5854,46.1082,weekly_series,27.54,196.7389,540.0,9.3653,-99.9803,19,ema_macd_agree,15m,10m,NIFTY,0.6842
976.3934,-65.5563,-3.5749,-3.3945,26.9283,weekly_series,38.36,131.3139,410.0,7.1968,-99.9953,61,ema_macd_agree,15m,10m,SENSEX,0.6721
530.4545,-91.773,27.7518,20.3952,38.106,weekly_series,40.0,172.3831,150.0,16.9222,-99.9826,22,ema_macd_agree,15m,15m,NIFTY,0.8636
709.1667,-67.6793,4.3948,2.6133,27.2157,weekly_series,42.86,111.4404,352.5,11.1763,-99.9953,54,ema_macd_agree,15m,15m,SENSEX,0.7407
813.913,-58.9813,-3.5292,-22.6437,10.6657,weekly_series,79.31,33.2606,330.0,2.2143,-99.9864,23,ema_macd_agree,15m,30m,NIFTY,0.5217
737.3438,-59.0129,1.5214,-0.7477,29.7722,weekly_series,84.21,116.25,390.0,8.0056,-99.9963,64,ema_macd_agree,15m,30m,SENSEX,0.6562
1047.0,-81.4611,0.2071,-4.448,28.2826,weekly_series,57.58,194.6341,588.0,10.0846,-99.9911,57,ema_macd_agree,15m,3m,NIFTY,0.7018
942.1374,-66.9685,-3.4225,-4.2788,23.2771,weekly_series,56.96,109.4609,510.0,10.4756,-99.9972,131,ema_macd_agree,15m,3m,SENSEX,0.6947
1134.3243,-88.5771,-11.1115,-10.2326,32.2041,weekly_series,38.54,114.8905,685.0,12.1715,-99.9849,37,ema_macd_agree,15m,5m,NIFTY,0.6486
1033.0729,-69.6475,-5.8732,-4.1569,28.5884,weekly_series,46.6,142.4583,592.5,7.9889,-99.9961,96,ema_macd_agree,15m,5m,SENSEX,0.6667
99.8889,-59.02,-2.4286,-14.0651,8.4123,monthly_expiry_day,45.0,10.0,33.0,10.0,-99.9521,9,ema_alignment,30m,1m,NIFTY,0.6667
159.6667,-43.4158,0.298,-15.5412,8.8491,monthly_expiry_day,35.71,10.0,152.0,0.7925,-99.9858,15,ema_alignment,30m,1m,SENSEX,0.5333
122.0,0.0,0.0969,6.72,6.72,monthly_expiry_day,50.0,10.0,105.0,10.0,0.16,3,ema_alignment,30m,3m,NIFTY,1.0
94.2857,-11.644,-0.6505,2.4282,8.057,monthly_expiry_day,41.18,10.0,63.0,10.0,-12.8432,7,ema_alignment,30m,3m,SENSEX,0.7143
106.6667,-0.2588,1.85,6.5804,10.0,monthly_expiry_day,75.0,10.0,100.0,10.0,-0.2588,3,ema_alignment,30m,5m,NIFTY,0.6667
145.0,-97.6744,-7.2485,-29.1298,5.1425,monthly_expiry_day,33.33,10.0,150.0,0.285,-97.6744,3,ema_alignment,30m,5m,SENSEX,0.6667
1955.7143,-59.9028,33.8896,26.8537,61.5563,monthly_series,41.18,149.5502,1480.0,19.5844,-99.9941,7,ema_alignment,30m,10m,NIFTY,0.7143
1873.7037,-71.9604,5.6797,-2.5434,32.1651,monthly_series,45.76,158.0537,960.0,10.249,-99.998,27,ema_alignment,30m,10m,SENSEX,0.6667
3579.0,-63.9889,5.7369,-3.2031,57.5826,monthly_series,62.5,149.5619,1552.5,6.2965,-99.9944,10,ema_alignment,30m,15m,NIFTY,0.5
1922.3438,-55.7071,3.9584,-4.4293,30.6555,monthly_series,55.17,144.127,847.5,7.4714,-99.998,32,ema_alignment,30m,15m,SENSEX,0.5938
5425.0,-67.269,-3.8144,-27.9382,11.3925,monthly_series,50.0,17.3235,3240.0,1.9843,-99.9944,6,ema_alignment,30m,30m,NIFTY,0.5
1784.4,-64.666,-0.289,2.843,29.0965,monthly_series,54.35,80.3803,870.0,10.0111,-99.998,25,ema_alignment,30m,30m,SENSEX,0.72
3028.875,0.0,59.8183,61.6951,61.6951,monthly_series,47.06,191.6225,2068.5,24.9432,2.2699,8,ema_alignment,30m,3m,NIFTY,1.0
2591.7097,-61.0184,-0.1772,-4.362,36.5565,monthly_series,46.97,172.1161,1029.0,10.6617,-99.9986,31,ema_alignment,30m,3m,SENSEX,0.5806
3041.5,-58.9962,10.3064,9.4905,26.6121,monthly_series,50.0,82.975,1752.5,14.9034,-98.1809,10,ema_alignment,30m,5m,NIFTY,0.8
1970.0,-61.5329,10.1658,7.5296,38.2241,monthly_series,38.81,191.0163,907.5,13.5959,-99.9966,26,ema_alignment,30m,5m,SENSEX,0.6923
83.0938,-38.1376,2.0951,-3.8483,9.5692,weekly_expiry_day,41.03,10.0,21.5,10.0,-99.9508,32,ema_alignment,30m,1m,NIFTY,0.7188
102.8974,-20.3549,7.8091,-1.1342,9.6295,weekly_expiry_day,24.53,10.0,70.0,10.0,-99.9133,39,ema_alignment,30m,1m,SENSEX,0.641
71.5714,-27.8995,6.092,-6.2426,10.0,weekly_expiry_day,42.42,10.0,52.5,10.0,-99.6904,14,ema_alignment,30m,3m,NIFTY,0.5714
85.625,-6.1209,7.4356,3.0945,9.6769,weekly_expiry_day,33.33,10.0,34.5,10.0,-18.7316,24,ema_alignment,30m,3m,SENSEX,0.5833
75.8333,-9.8117,4.9411,0.0941,10.0,weekly_expiry_day,35.29,10.0,85.0,4.8941,-23.4332,6,ema_alignment,30m,5m,NIFTY,0.5
97.3077,-7.4859,-3.1074,-1.8892,7.0655,weekly_expiry_day,36.11,10.0,95.0,-0.7467,-21.1212,13,ema_alignment,30m,5m,SENSEX,0.3846
