exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-05-13,CE,2025-05-02,2025-05,2025-05-02 13:45:00+05:30,966.0,False,399.0,83.0,-40.9,30.0,-40.88509316770187,-40.8851,hard_sl,hard_sl_ibr,0.1
2025-05-13,PE,2025-04-29,2025-04,2025-04-29 12:25:00+05:30,1106.35,False,235.2,22.9,-40.9,30.0,-40.87314141094589,-2.4002,hard_sl,trail_stop,0.1
2025-05-13,PE,2025-05-13,2025-05,2025-05-13 10:40:00+05:30,71.05,False,89.8,170.0,-80.0,-99.9296,-80.0,-99.9296,hard_sl,hold_to_end,0.1
2025-05-20,CE,2025-05-06,2025-05,2025-05-06 13:40:00+05:30,1037.55,False,171.9,29.3,-20.4,30.0,-20.370102645655624,7.5434,hard_sl,trail_stop,0.1
2025-05-20,CE,2025-05-14,2025-05,2025-05-14 09:30:00+05:30,1286.1,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-05-20,CE,2025-05-16,2025-05,2025-05-16 12:55:00+05:30,1873.8,False,239.9,19.5,-18.9,-68.7987,-18.876080691642656,-18.8761,hard_sl,hard_sl_ibr,0.1
2025-05-20,PE,2025-05-06,2025-05,2025-05-06 15:25:00+05:30,908.55,True,75.2,15.0,-12.9,30.0,15.0,6.9164,target_hit,trail_stop,0.35
2025-05-20,PE,2025-05-13,2025-05,2025-05-13 13:30:00+05:30,524.95,False,211.7,27.3,-80.0,-99.981,-80.0,-8.3916,hard_sl,trail_stop,0.1
2025-06-03,CE,2025-05-21,2025-05,2025-05-21 09:45:00+05:30,939.7,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-06-03,CE,2025-05-26,2025-05,2025-05-26 15:20:00+05:30,1054.0,False,385.0,53.7,-55.9,-99.9953,-55.88235294117647,-55.8824,hard_sl,hard_sl_ibr,0.1
2025-06-03,PE,2025-05-21,2025-05,2025-05-21 12:05:00+05:30,1069.65,False,271.9,36.5,-39.7,30.0,36.51661758519143,11.2088,target_hit,trail_stop,0.1
2025-06-03,PE,2025-05-23,2025-05,2025-05-23 14:55:00+05:30,1000.0,False,410.5,81.2,-42.0,30.0,-41.98,34.1735,hard_sl,trail_stop,0.1
2025-06-03,PE,2025-05-27,2025-05,2025-05-27 12:45:00+05:30,1048.1,True,581.8,85.0,-80.0,30.0,20.5419,26.4396,end,trail_stop,0.35
2025-06-03,PE,2025-05-28,2025-05,2025-05-28 09:30:00+05:30,1287.45,False,0.0,30.0,-50.0,-1.868,-1.868,-1.868,end,end,0.1
2025-06-10,CE,2025-05-28,2025-05,2025-05-28 13:05:00+05:30,1033.4,False,219.5,31.5,-32.3,-42.6602,-32.26243468163345,-32.2624,hard_sl,hard_sl_ibr,0.1
2025-06-10,PE,2025-05-27,2025-05,2025-05-27 13:30:00+05:30,1275.0,False,13.9,15.0,4.5,-99.9961,4.486274509803907,4.4863,hard_sl,hard_sl_ibr,0.1
2025-06-17,CE,2025-06-04,2025-06,2025-06-04 14:00:00+05:30,818.0,False,75.0,15.0,-15.0,30.0,15.0,2.4114,target_hit,trail_stop,0.1
2025-06-17,CE,2025-06-06,2025-06,2025-06-06 10:35:00+05:30,1040.0,True,228.5,15.0,-51.1,30.0,15.0,-2.4327,target_hit,trail_stop,0.35
2025-06-17,CE,2025-06-11,2025-06,2025-06-11 11:10:00+05:30,1400.0,False,38.7,15.0,-14.6,-86.925,-14.646428571428585,-6.3332,hard_sl,trail_stop,0.1
2025-06-17,PE,2025-06-05,2025-06,2025-06-05 14:00:00+05:30,758.8,True,192.5,49.0,-27.1,30.0,-27.06246705324195,-27.0625,hard_sl,hard_sl_ibr,0.35
2025-06-17,PE,2025-06-13,2025-06,2025-06-13 14:55:00+05:30,709.75,False,465.8,128.4,-68.5,-99.9859,-68.48185980979218,-68.4819,hard_sl,hard_sl_ibr,0.1
2025-07-01,CE,2025-06-17,2025-06,2025-06-17 14:35:00+05:30,775.85,False,61.8,21.6,-2.3,30.0,-2.32003608945028,-2.32,hard_sl,hard_sl_ibr,0.1
2025-07-01,CE,2025-06-23,2025-06,2025-06-23 13:20:00+05:30,735.8,False,304.6,53.8,-70.4,30.0,53.764609948355556,10.5217,target_hit,trail_stop,0.1
2025-07-01,CE,2025-06-25,2025-06,2025-06-25 09:45:00+05:30,976.3,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-07-01,CE,2025-07-01,2025-07,2025-07-01 09:35:00+05:30,1822.55,False,0.0,30.0,-50.0,-1.2071,-1.2071,-1.2071,end,end,0.1
2025-07-01,PE,2025-06-17,2025-06,2025-06-17 12:55:00+05:30,1040.4,False,92.0,15.0,-19.5,-99.9952,-19.511726259131112,-7.5479,hard_sl,trail_stop,0.1
2025-07-08,CE,2025-06-25,2025-06,2025-06-25 09:55:00+05:30,798.35,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-07-08,CE,2025-06-26,2025-06,2025-06-26 13:50:00+05:30,1355.0,False,304.3,15.0,-58.4,-25.4649,-58.35055350553506,-6.555,hard_sl,trail_stop,0.1
2025-07-08,PE,2025-06-24,2025-06,2025-06-24 13:20:00+05:30,870.65,False,230.6,39.1,-40.3,-99.9943,-40.34342158157698,18.5324,hard_sl,trail_stop,0.1
2025-07-15,CE,2025-07-01,2025-07,2025-07-01 13:15:00+05:30,904.75,False,78.3,15.6,-10.3,-99.9945,-10.345399281569485,-10.3454,hard_sl,hard_sl_ibr,0.1
2025-07-15,PE,2025-07-01,2025-07,2025-07-01 13:10:00+05:30,669.25,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-07-15,PE,2025-07-03,2025-07,2025-07-03 12:25:00+05:30,627.9,False,202.1,54.2,-42.4,30.0,-42.3713967192228,22.621,hard_sl,trail_stop,0.1
2025-07-15,PE,2025-07-04,2025-07,2025-07-04 11:25:00+05:30,804.1,True,106.6,17.1,-22.6,30.0,-22.627782614102728,5.712,hard_sl,trail_stop,0.35
2025-07-15,PE,2025-07-11,2025-07,2025-07-11 15:20:00+05:30,1026.2,False,157.1,15.0,-54.8,30.0,15.0,-9.473,target_hit,trail_stop,0.1
2025-07-15,PE,2025-07-15,2025-07,2025-07-15 13:45:00+05:30,1024.95,True,231.8,54.5,-13.3,0.5659,0.5659,0.5659,end,hold_to_end,0.35
2025-07-22,CE,2025-07-08,2025-07,2025-07-08 12:35:00+05:30,802.25,False,79.2,15.0,-14.7,-99.9938,15.0,8.5151,target_hit,trail_stop,0.1
2025-07-22,PE,2025-07-09,2025-07,2025-07-09 14:25:00+05:30,508.2,True,88.3,31.9,-20.2,30.0,31.8772136953955,9.6578,target_hit,trail_stop,0.35
2025-07-22,PE,2025-07-10,2025-07,2025-07-10 13:45:00+05:30,702.7,False,176.4,22.0,-53.3,30.0,22.007969261420214,-7.5023,target_hit,trail_stop,0.1
2025-07-22,PE,2025-07-11,2025-07,2025-07-11 15:20:00+05:30,1061.15,False,128.9,15.0,-42.0,30.0,15.0,-5.6652,target_hit,trail_stop,0.1
2025-07-22,PE,2025-07-15,2025-07,2025-07-15 13:45:00+05:30,983.1,True,125.5,34.5,-3.8,30.0,-3.8297223069880966,-3.8297,hard_sl,hard_sl_ibr,0.35
2025-07-22,PE,2025-07-21,2025-07,2025-07-21 09:25:00+05:30,1920.0,False,0.0,30.0,-50.0,-31.6146,-31.6146,-31.6146,end,end,0.1
2025-08-05,CE,2025-07-28,2025-07,2025-07-28 10:25:00+05:30,272.7,False,87.9,25.0,-71.7,-99.9817,-71.72717271727173,-8.7418,hard_sl,trail_stop,0.1
2025-08-05,PE,2025-07-24,2025-07,2025-07-24 09:55:00+05:30,416.4,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-08-05,PE,2025-07-24,2025-07,2025-07-24 15:00:00+05:30,554.15,False,72.3,15.0,-48.1,30.0,15.0,-8.1145,target_hit,trail_stop,0.1
2025-08-05,PE,2025-07-28,2025-07,2025-07-28 10:55:00+05:30,1098.1,True,260.1,40.5,-30.5,30.0,40.51088243329391,12.7232,target_hit,trail_stop,0.35
2025-08-05,PE,2025-07-31,2025-07,2025-07-31 09:15:00+05:30,1432.8,True,0.0,30.0,-50.0,17.5321,17.5321,17.5321,end,end,0.35
2025-08-12,CE,2025-07-29,2025-07,2025-07-29 13:15:00+05:30,950.0,False,25.5,15.0,-7.8,30.0,15.0,-0.3163,target_hit,trail_stop,0.1
2025-08-12,CE,2025-07-31,2025-07,2025-07-31 11:30:00+05:30,984.1,False,133.9,15.0,-41.9,-99.9949,15.0,-2.4602,target_hit,trail_stop,0.1
2025-08-12,PE,2025-07-31,2025-07,2025-07-31 09:25:00+05:30,540.0,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-08-12,PE,2025-08-04,2025-08,2025-08-04 09:45:00+05:30,623.8,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-08-12,PE,2025-08-08,2025-08,2025-08-08 10:10:00+05:30,689.95,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-08-12,PE,2025-08-12,2025-08,2025-08-12 11:10:00+05:30,378.85,False,340.4,101.4,-80.0,30.0,48.8716,6.4578,end,trail_stop,0.1
2025-08-19,CE,2025-08-06,2025-08,2025-08-06 12:35:00+05:30,967.3,False,104.7,23.5,-9.0,30.0,-8.963093145869951,-8.9631,hard_sl,hard_sl_ibr,0.1
2025-08-19,CE,2025-08-18,2025-08,2025-08-18 13:20:00+05:30,1410.25,False,898.6,78.6,-80.0,2.6307,2.6307,2.6307,end,hold_to_end,0.1
