variant_key,group_name,indicator,timeframe,exit_name,expiry_day_only,score,opportunities,win_rate,avg_return_pct,median_return_pct,avg_win_return_pct,avg_loss_return_pct,max_realized_return_pct,avg_holding_minutes,median_holding_minutes,avg_max_possible_return_pct,max_possible_return_pct
weekly_series|series|10m|roc_zero|trail_after_20pct_dd10pct,weekly_series,roc_zero,10m,trail_after_20pct_dd10pct,False,15.621238,314,0.6624,-4.0576,9.5376,27.412,-65.8092,293.0043,1112.3248,590.0,88.3148,1194.2514
weekly_series|series|10m|roc_zero|trail_after_30pct_dd15pct,weekly_series,roc_zero,10m,trail_after_30pct_dd15pct,False,26.744254,249,0.6386,-0.1795,12.7611,42.0209,-74.7334,329.2702,1436.7871,1200.0,95.8342,1194.2514
weekly_series|series|15m|roc_zero|target_30pct,weekly_series,roc_zero,15m,target_30pct,False,59.583701,263,0.673,-5.3052,30.0,29.0263,-75.9641,30.0,1230.9696,750.0,109.3143,1668.1579
weekly_series|series|15m|roc_zero|trail_after_20pct_dd10pct,weekly_series,roc_zero,15m,trail_after_20pct_dd10pct,False,19.906603,309,0.6958,-1.5215,9.3264,28.2452,-69.605,290.6362,1055.6796,540.0,103.375,1668.1579
weekly_series|series|15m|roc_zero|trail_after_30pct_dd15pct,weekly_series,roc_zero,15m,trail_after_30pct_dd15pct,False,24.639681,256,0.6445,1.3077,10.6108,41.3222,-71.2461,312.0334,1323.8672,960.0,111.8143,1668.1579
weekly_series|series|30m|roc_zero|target_30pct,weekly_series,roc_zero,30m,target_30pct,False,47.632882,222,0.6306,-10.0761,30.0,29.0921,-76.9485,30.0,1234.4595,780.0,97.0466,1082.3979
weekly_series|series|30m|roc_zero|trail_after_20pct_dd10pct,weekly_series,roc_zero,30m,trail_after_20pct_dd10pct,False,9.281383,257,0.6304,-5.8478,8.3175,28.9764,-65.2323,130.5049,1048.716,630.0,93.4009,1082.3979
weekly_series|series|30m|roc_zero|trail_after_30pct_dd15pct,weekly_series,roc_zero,30m,trail_after_30pct_dd15pct,False,9.762651,220,0.5818,-5.4555,8.8178,40.3218,-69.1457,364.9811,1340.1818,930.0,99.1298,1082.3979
weekly_series|series|3m|ema_9_21_cross|target_30pct,weekly_series,ema_9_21_cross,3m,target_30pct,False,56.23006,267,0.6517,-6.4191,30.0,29.0831,-72.8425,30.0,1275.3034,684.0,94.506,1188.5535
weekly_series|series|3m|ema_9_21_cross|trail_after_20pct_dd10pct,weekly_series,ema_9_21_cross,3m,trail_after_20pct_dd10pct,False,22.567035,324,0.7037,-1.9129,10.5163,27.3126,-71.3236,294.4318,1061.8796,534.0,92.7095,1188.5535
weekly_series|series|3m|ema_9_21_cross|trail_after_30pct_dd15pct,weekly_series,ema_9_21_cross,3m,trail_after_30pct_dd15pct,False,29.848709,248,0.6411,0.7067,13.5929,43.4127,-75.5883,359.693,1441.5605,1111.5,97.8876,1188.5535
weekly_series|series|5m|ema_9_21_cross|target_30pct,weekly_series,ema_9_21_cross,5m,target_30pct,False,63.897395,269,0.6914,-3.7306,30.0,28.9553,-76.9784,30.0,1116.6357,565.0,108.2134,1748.4182
weekly_series|series|5m|ema_9_21_cross|trail_after_20pct_dd10pct,weekly_series,ema_9_21_cross,5m,trail_after_20pct_dd10pct,False,22.063157,311,0.6977,-1.3496,10.0769,27.6444,-68.2824,250.0857,975.4984,440.0,106.5582,1748.4182
weekly_series|series|5m|ema_9_21_cross|trail_after_30pct_dd15pct,weekly_series,ema_9_21_cross,5m,trail_after_30pct_dd15pct,False,29.606774,257,0.6459,-0.8995,14.3575,37.4614,-70.8765,211.3369,1247.1401,850.0,110.9667,1748.4182
weekly_series|series|10m|ema_9_21_cross|target_30pct,weekly_series,ema_9_21_cross,10m,target_30pct,False,54.962723,224,0.6652,-6.861,30.0,28.9163,-77.9386,30.0,1086.8304,585.0,112.707,1343.3942
weekly_series|series|10m|ema_9_21_cross|trail_after_20pct_dd10pct,weekly_series,ema_9_21_cross,10m,trail_after_20pct_dd10pct,False,15.100887,255,0.6784,-3.8039,9.2263,27.6148,-70.0895,185.7268,933.7255,460.0,104.5847,1343.3942
weekly_series|series|10m|ema_9_21_cross|trail_after_30pct_dd15pct,weekly_series,ema_9_21_cross,10m,trail_after_30pct_dd15pct,False,23.179298,223,0.6457,-3.2147,13.1989,35.7616,-74.2601,185.7268,1193.9013,750.0,113.2345,1343.3942
weekly_series|series|15m|ema_9_21_cross|target_30pct,weekly_series,ema_9_21_cross,15m,target_30pct,False,49.63755,188,0.6543,-8.8176,30.0,28.9497,-80.2849,30.0,1141.7553,675.0,111.4983,940.5054
weekly_series|series|15m|ema_9_21_cross|trail_after_20pct_dd10pct,weekly_series,ema_9_21_cross,15m,trail_after_20pct_dd10pct,False,18.267047,213,0.6901,-1.8456,9.452,28.7701,-70.0351,172.3831,931.5493,450.0,106.8476,940.5054
weekly_series|series|15m|ema_9_21_cross|trail_after_30pct_dd15pct,weekly_series,ema_9_21_cross,15m,trail_after_30pct_dd15pct,False,22.316136,190,0.6421,-3.7879,13.5538,36.5611,-76.1788,196.7389,1240.6579,810.0,111.3477,940.5054
weekly_series|series|30m|ema_9_21_cross|target_30pct,weekly_series,ema_9_21_cross,30m,target_30pct,False,52.128224,120,0.675,-4.7423,30.0,28.8528,-74.5166,30.0,961.0,675.0,92.7215,764.2208
weekly_series|series|30m|ema_9_21_cross|trail_after_20pct_dd10pct,weekly_series,ema_9_21_cross,30m,trail_after_20pct_dd10pct,False,11.079483,123,0.6504,-3.9516,8.5244,28.5976,-64.5083,196.7389,906.0976,630.0,92.3392,764.2208
weekly_series|series|30m|ema_9_21_cross|trail_after_30pct_dd15pct,weekly_series,ema_9_21_cross,30m,trail_after_30pct_dd15pct,False,19.609321,120,0.6417,0.8617,10.0454,40.0865,-69.378,225.457,1074.5,765.0,92.7215,764.2208
weekly_series|series|3m|cci_zero|target_30pct,weekly_series,cci_zero,3m,target_30pct,False,55.038044,269,0.6431,-6.7828,30.0,29.2538,-71.7237,30.0,1360.9851,957.0,92.5949,1113.0255
weekly_series|series|3m|cci_zero|trail_after_20pct_dd10pct,weekly_series,cci_zero,3m,trail_after_20pct_dd10pct,False,23.258423,327,0.7064,-1.8489,10.7053,27.2224,-71.8016,294.4318,1127.4862,621.0,92.9847,1113.0255
weekly_series|series|3m|cci_zero|trail_after_30pct_dd15pct,weekly_series,cci_zero,3m,trail_after_30pct_dd15pct,False,27.908533,262,0.6527,-0.3785,13.0417,39.7496,-75.7842,343.5077,1427.5076,1066.5,94.8261,1113.0255
weekly_series|series|5m|cci_zero|target_30pct,weekly_series,cci_zero,5m,target_30pct,False,55.839259,270,0.6519,-6.7751,30.0,28.9309,-73.6291,30.0,1286.6852,805.0,92.193,1194.2514
weekly_series|series|5m|cci_zero|trail_after_20pct_dd10pct,weekly_series,cci_zero,5m,trail_after_20pct_dd10pct,False,20.214434,330,0.6939,-2.8944,10.2977,26.3084,-69.1068,222.5605,1063.8636,562.5,88.9641,1194.2514
weekly_series|series|5m|cci_zero|trail_after_30pct_dd15pct,weekly_series,cci_zero,5m,trail_after_30pct_dd15pct,False,22.132264,254,0.6299,-1.4059,11.5053,40.9199,-73.4499,343.0423,1416.2008,1065.0,95.127,1194.2514
weekly_series|series|10m|cci_zero|target_30pct,weekly_series,cci_zero,10m,target_30pct,False,64.891334,268,0.6978,-3.4455,30.0,28.8294,-77.9566,30.0,1108.0224,570.0,109.3554,1748.4182
weekly_series|series|10m|cci_zero|trail_after_20pct_dd10pct,weekly_series,cci_zero,10m,trail_after_20pct_dd10pct,False,27.17204,310,0.6968,1.4258,10.3726,31.3284,-67.2865,294.9296,972.7419,450.0,114.1727,1748.4182
weekly_series|series|10m|cci_zero|trail_after_30pct_dd15pct,weekly_series,cci_zero,10m,trail_after_30pct_dd15pct,False,32.048873,261,0.659,1.165,13.7796,38.7368,-71.4458,233.9836,1206.1686,800.0,112.7638,1748.4182
weekly_series|series|15m|cci_zero|target_30pct,weekly_series,cci_zero,15m,target_30pct,False,57.001712,241,0.668,-6.1346,30.0,28.9477,-76.7378,30.0,1121.9502,705.0,108.2285,1578.0719
weekly_series|series|15m|cci_zero|trail_after_20pct_dd10pct,weekly_series,cci_zero,15m,trail_after_20pct_dd10pct,False,21.508321,281,0.669,-1.1789,10.2833,29.855,-63.9141,179.4572,949.0036,480.0,104.7979,1578.0719
weekly_series|series|15m|cci_zero|trail_after_30pct_dd15pct,weekly_series,cci_zero,15m,trail_after_30pct_dd15pct,False,23.125049,238,0.6387,-0.7893,11.545,38.3126,-69.8995,204.4455,1217.7731,862.5,110.5859,1578.0719
weekly_series|series|30m|cci_zero|target_30pct,weekly_series,cci_zero,30m,target_30pct,False,47.43137,180,0.6333,-8.9821,30.0,28.7416,-74.1411,30.0,1042.0,615.0,98.841,856.9219
weekly_series|series|30m|cci_zero|trail_after_20pct_dd10pct,weekly_series,cci_zero,30m,trail_after_20pct_dd10pct,False,3.601591,197,0.5888,-5.2299,5.4144,32.3565,-59.0572,226.9391,940.0508,510.0,102.0233,856.9219
weekly_series|series|30m|cci_zero|trail_after_30pct_dd15pct,weekly_series,cci_zero,30m,trail_after_30pct_dd15pct,False,13.263409,177,0.5932,-4.7165,10.3359,40.2649,-70.3143,231.6004,1179.661,780.0,100.4647,856.9219
weekly_series|series|3m|adx_di_cross|target_30pct,weekly_series,adx_di_cross,3m,target_30pct,False,48.529948,132,0.6667,-7.7883,30.0,27.9901,-79.3452,30.0,1012.5227,621.0,90.5824,714.6799
weekly_series|series|3m|adx_di_cross|trail_after_20pct_dd10pct,weekly_series,adx_di_cross,3m,trail_after_20pct_dd10pct,False,15.474264,139,0.7122,-3.8544,9.8976,24.4309,-73.8606,185.3891,877.8345,438.0,87.8625,714.6799
weekly_series|series|3m|adx_di_cross|trail_after_30pct_dd15pct,weekly_series,adx_di_cross,3m,trail_after_30pct_dd15pct,False,18.189474,120,0.625,-4.99,13.4408,37.9416,-76.5426,227.2441,1161.025,765.0,93.7928,714.6799
weekly_series|series|5m|adx_di_cross|target_30pct,weekly_series,adx_di_cross,5m,target_30pct,False,55.447136,92,0.6957,-1.0408,30.0,28.6993,-69.0183,30.0,781.9022,380.0,90.981,703.5935
weekly_series|series|5m|adx_di_cross|trail_after_20pct_dd10pct,weekly_series,adx_di_cross,5m,trail_after_20pct_dd10pct,False,17.037878,95,0.6842,0.1236,9.0105,28.053,-60.3901,232.0053,723.0526,375.0,89.9951,703.5935
weekly_series|series|5m|adx_di_cross|trail_after_30pct_dd15pct,weekly_series,adx_di_cross,5m,trail_after_30pct_dd15pct,False,23.308672,88,0.6477,2.1039,11.9596,38.167,-64.2055,232.0053,918.8636,562.5,91.7341,703.5935
weekly_series|series|10m|adx_di_cross|target_30pct,weekly_series,adx_di_cross,10m,target_30pct,False,49.4405,65,0.6769,-1.4167,30.0,29.389,-65.9621,30.0,867.2308,560.0,102.2147,811.4004
