name,dt,xdt,entry,entry_mid,o,w1_c,p0945,typ,rest_h,after_open_h,src,nb,helper,r_open,r_w1c,r_0945,r_typ,r_mid,unrev_day,unrev_rest,r_corr,zero
FEDERALBNK,2026-07-27,2026-07-28,356.9,356.9,357.0,355.8,355.75,356.34999999999997,358.7,358.7,fyers,13,0.000280190529560187,0.000280190529560187,-0.0030820958251610575,-0.003222191089941151,-0.0015410479125805843,-0.0014009526478004908,False,False,0.000280190529560187,False
FEDERALBNK,2026-07-29,2026-07-30,359.5,359.575,359.05,356.05,356.25,357.15000000000003,356.85,356.85,fyers,13,-0.0012517385257301283,-0.0012517385257301283,-0.009596662030598058,-0.009040333796940248,-0.006536856745479769,-0.0054242002781640375,True,True,-0.006536856745479769,False
FEDERALBNK,2026-08-03,2026-08-04,371.7,371.7,364.55,360.5,360.55,361.4166666666667,362.45,362.45,fyers,13,-0.019235942964756503,-0.019235942964756503,-0.030131826741996215,-0.029997309658326587,-0.027665680208053045,-0.02468388485337636,True,True,-0.027665680208053045,False
FEDERALBNK,2026-08-10,2026-08-11,358.35,358.35,357.2,353.65,353.65,354.7,356.1,356.1,upstox_spot,13,-0.003209153062648351,-0.003209153062648351,-0.013115669038649469,-0.013115669038649469,-0.010185572764057627,-0.008162411050648966,True,True,-0.010185572764057627,False
FEDERALBNK,2026-08-12,2026-08-13,356.85,356.85,356.5,355.55,355.5,355.5333333333333,355.6,355.6,upstox_spot,13,-0.0009808042594928734,-0.0009808042594928734,-0.0036429872495447047,-0.003783102143757988,-0.003689692214282503,-0.0023118957545188445,True,True,-0.003689692214282503,False
FEDERALBNK,2026-08-18,2026-08-19,357.8,357.9,357.8,356.25,356.25,356.45,360.0,360.0,upstox_spot,13,0.0,0.0,-0.00433202906651764,-0.00433202906651764,-0.003773057574063765,-0.002166014533258931,False,False,0.0,True
FEDERALBNK,2026-08-19,2026-08-20,358.8,359.1,361.9,362.75,362.75,361.9666666666667,364.2,364.2,upstox_spot,13,0.008639910813823759,0.008639910813823759,0.011008918617614327,0.011008918617614327,0.008825715347454466,0.009824414715718932,False,False,0.008639910813823759,False
FEDERALBNK,2026-08-21,2026-08-24,361.0,361.0,360.45,360.15,360.15,359.7333333333333,361.25,361.25,upstox_spot,13,-0.0015235457063712543,-0.0015235457063712543,-0.002354570637119191,-0.002354570637119191,-0.0035087719298246833,-0.0019390581717453337,False,False,-0.0015235457063712543,False
ICICIBANK,2025-06-26,2025-06-27,1440.0,1440.45,1438.9,1441.6,1441.8,1441.4666666666665,1466.0,1466.0,upstox_spot,13,-0.0007638888888887863,-0.0007638888888887863,0.0011111111111110628,0.0012499999999999734,0.0010185185185183077,0.00017361111111102723,False,False,-0.0007638888888887863,False
ICICIBANK,2025-06-27,2025-06-30,1457.9,1461.95,1461.8,1458.5,1458.5,1458.0333333333335,1458.8,1458.8,upstox_spot,13,0.0026750805953767998,0.0026750805953767998,0.00041155086082711456,0.00041155086082711456,9.145574685054392e-05,0.0015433157281019572,True,True,9.145574685054392e-05,False
ICICIBANK,2025-07-04,2025-07-07,1443.0,1443.7,1437.0,1434.4,1434.2,1435.9666666666665,1437.0,1437.0,upstox_spot,13,-0.004158004158004158,-0.004158004158004158,-0.005959805959805942,-0.006098406098406062,-0.004874104874105001,-0.00505890505890505,False,False,-0.004158004158004158,False
ICICIBANK,2025-07-08,2025-07-09,1443.0,1443.85,1436.2,1427.3,1427.2,1431.0,1436.0,1436.0,upstox_spot,13,-0.004712404712404639,-0.004712404712404639,-0.010880110880110871,-0.010949410949410932,-0.008316008316008316,-0.007796257796257811,True,True,-0.008316008316008316,False
ICICIBANK,2025-07-15,2025-07-16,1432.0,1432.9,1426.0,1421.3,1421.0,1423.0,1429.2,1429.2,upstox_spot,13,-0.0041899441340782495,-0.0041899441340782495,-0.007472067039106189,-0.007681564245810013,-0.006284916201117263,-0.0058310055865921084,False,False,-0.0041899441340782495,False
ICICIBANK,2025-07-18,2025-07-21,1426.7,1427.85,1448.0,1453.2,1453.2,1448.6666666666667,1467.7,1467.7,upstox_spot,13,0.014929557720613884,0.014929557720613884,0.01857433237541173,0.01857433237541173,0.015396836522511226,0.016751945048012695,False,False,0.014929557720613884,False
ICICIBANK,2025-07-21,2025-07-22,1464.5,1465.7,1474.1,1477.3,1477.4,1475.7,1482.0,1482.0,upstox_spot,13,0.0065551382724478024,0.0065551382724478024,0.008740184363263959,0.008808467053601943,0.007647661317855992,0.0076476613178557695,False,False,0.0065551382724478024,False
ICICIBANK,2025-07-23,2025-07-24,1486.6,1487.75,1487.7,1484.9,1484.9,1485.3333333333333,1488.5,1488.5,upstox_spot,13,0.0007399434952239936,0.0007399434952239936,-0.0011435490380733437,-0.0011435490380733437,-0.0008520561460154674,-0.00020180277142456404,False,False,0.0007399434952239936,False
ICICIBANK,2025-08-11,2025-08-12,1437.3,1437.55,1431.0,1427.4,1427.5,1426.6666666666667,1433.8,1433.8,upstox_spot,13,-0.004383218534752653,-0.004383218534752653,-0.006887914840325471,-0.006818339942948559,-0.0073981307544237485,-0.005635566687539062,False,False,-0.004383218534752653,False
ICICIBANK,2025-08-14,2025-08-18,1427.6,1427.8,1450.0,1450.3,1450.7,1448.1000000000001,1451.8,1451.8,upstox_spot,13,0.015690669655365808,0.015690669655365808,0.015900812552535726,0.016181003082095913,0.014359764639955364,0.015795741103950878,False,False,0.015690669655365808,False
ICICIBANK,2025-08-19,2025-08-20,1436.9,1436.95,1432.6,1426.6,1426.4,1428.5,1433.8,1433.8,upstox_spot,13,-0.0029925534135988308,-0.0029925534135988308,-0.007168209339550535,-0.007307397870415455,-0.0058459182963324086,-0.0050803813765747385,False,False,-0.0029925534135988308,False
ICICIBANK,2025-08-21,2025-08-22,1444.7,1445.6,1444.3,1434.9,1434.8,1437.9666666666665,1441.5,1441.5,upstox_spot,13,-0.0002768740915068957,-0.0002768740915068957,-0.006783415241918722,-0.006852633764795502,-0.004660713873699485,-0.0035301446667128644,True,True,-0.004660713873699485,False
ICICIBANK,2025-09-01,2025-09-02,1411.0,1411.5,1413.9,1409.6,1409.6,1410.0333333333335,1412.4,1412.4,upstox_spot,13,0.002055279943302679,0.002055279943302679,-0.0009922041105600021,-0.0009922041105600021,-0.0006850933144341154,0.000531537916371283,True,True,-0.0006850933144341154,False
ICICIBANK,2025-09-03,2025-09-04,1396.6,1397.4,1409.9,1410.1,1410.1,1408.6333333333332,1415.1,1415.1,upstox_spot,13,0.009523127595589376,0.009523127595589376,0.009666332521838683,0.009666332521838683,0.008616163062675986,0.00959473005871403,False,False,0.009523127595589376,False
ICICIBANK,2025-09-12,2025-09-15,1417.5,1417.9,1422.0,1419.5,1419.6,1420.4333333333334,1426.8,1426.8,upstox_spot,13,0.0031746031746031633,0.0031746031746031633,0.001410934744268122,0.001481481481481417,0.002069370958259986,0.0022927689594356426,False,False,0.0031746031746031633,False
ICICIBANK,2025-09-16,2025-09-17,1422.4,1423.0500000000002,1420.1,1424.7,1424.6,1423.6333333333332,1425.4,1425.4,upstox_spot,13,-0.001616985376827973,-0.001616985376827973,0.001616985376827973,0.0015466816647917714,0.000867079115110414,0.0,False,False,-0.001616985376827973,False
